id;name;description;operator;date;cart_id;quantity;iva_percent;unit_price
2183;Cafè arabica mòlt de Colòmbia  - 250 gr ;Tueste natural - Comercio justo;4;2022-01-26;15866;2;10;3.63
1528;Oli Oliva ECO La Llena - Garrafa PET 5 litres;;4;2022-01-26;15866;1;10;29.7
1790;Pa Motlle Integral amb llavors de lli i pipes de girasol - 600 gr;;4;2022-01-26;15866;1;4;3.5048
2349;Pizza Bases (ovalada) - Bossa 2 uts de 180 gr;;5;2022-01-26;15866;1;10;3.34
3316;Galetes Veganes d'Espelta amb Xocolata i Avellanes - 1 bosseta (paper) 200 gr;"Bossa tanca hermèticament. Farina blanca d'espelta, farina integral d'espelta, sucre, liquat d'arròs, oli d'oliva, llimona i impulsor ecològic";6;2022-01-26;15866;2;10;3.45
4064;Mandarines - 1 Kg;Bitem - Tortosa (Tarragona);32;2022-01-26;15866;2.48;4;1.76
4062;Taronges Taula - 1 Kg;Bitem - Tortosa (Tarragona);4;2022-01-26;15866;1.58;4;1.62
